#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
"ENST00000690406.1","chr12","-","25205245","25225773","25213203","25225773","3","25205245,25213113,25225613,","25209911,25213206,25225773,","","uc315rsh.1"
"ENST00000256078.10","chr12","-","25205245","25250929","25215440","25245384","6","25205245,25215436,25225613,25227233,25245273,25250750,","25209911,25215560,25225773,25227412,25245395,25250929,","P01116","uc001rgp.5"
"ENST00000311936.8","chr12","-","25205245","25250929","25209794","25245384","5","25205245,25225613,25227233,25245273,25250750,","25209911,25225773,25227412,25245395,25250929,","P01116","uc001rgq.3"
"ENST00000686877.1","chr12","-","25205249","25250908","25230564","25245384","6","25205249,25225613,25227233,25230482,25245273,25250750,","25209911,25225773,25227412,25230621,25245395,25250908,","","uc315mml.1"
"ENST00000685328.1","chr12","-","25205257","25250935","25209794","25245384","5","25205257,25225613,25227233,25245273,25250763,","25209911,25225773,25227412,25245395,25250935,","A0A024RAV5","uc315ket.1"
"ENST00000693229.1","chr12","-","25205259","25250899","25209794","25245384","5","25205259,25225613,25227233,25245273,25250750,","25209911,25225773,25227337,25245395,25250899,","","uc315vwz.1"
"ENST00000687356.1","chr12","-","25205269","25250927","25225761","25245384","4","25205269,25225613,25245273,25250750,","25209911,25225773,25245395,25250927,","","uc315new.1"
"ENST00000692768.1","chr12","-","25205342","25250917","25209794","25227325","4","25205342,25225613,25227233,25250750,","25209911,25225773,25227412,25250917,","","uc315vfg.1"
"ENST00000688940.1","chr12","-","25206932","25250444","25209794","25245384","5","25206932,25225613,25227233,25245273,25250254,","25209911,25225773,25227412,25245395,25250444,","A0A024RAV5","uc315pnx.1"
"ENST00000690804.1","chr12","-","25207947","25250929","25228846","25245384","6","25207947,25225613,25227233,25228774,25245273,25250750,","25209911,25225773,25227412,25228891,25245395,25250929,","","uc315shp.1"
"ENST00000557334.6","chr12","-","25209177","25250936","25209794","25245384","3","25209177,25245273,25250750,","25209911,25245395,25250936,","G3V5T7","uc058maw.2"
"ENST00000688228.1","chr12","-","25209672","25227997","25209672","25209672","3","25209672,25225613,25227233,","25209911,25225773,25227997,","","uc315oml.1"
"ENST00000686969.1","chr12","-","25232557","25250929","25235205","25245384","3","25232557,25245273,25250763,","25235226,25245395,25250929,","","uc315mpz.1"
"ENST00000556131.2","chr12","-","25232590","25250929","25235205","25245384","3","25232590,25245273,25250750,","25235226,25245395,25250929,","G3V4K2","uc001rgr.5"
