616	34034	78	9	15	chr1	4180996	4185574	-244770848	-	HERVH-int	LTR	ERV1	-25	7688	3140	4
616	13268	100	4	20	chr1	4185553	4187477	-244768945	-	HERVH-int	LTR	ERV1	-4718	2995	1104	4
623	20615	93	11	23	chr1	5045237	5048268	-243908154	+	HERVH-int	LTR	ERV1	1	2995	-4718	6
623	894	136	26	0	chr1	5048247	5048394	-243908028	+	HERVH-int	LTR	ERV1	3140	3290	-4423	6
623	29309	87	14	8	chr1	5048383	5052649	-243903773	+	HERVH-int	LTR	ERV1	3478	7713	0	6
624	14173	96	8	15	chr1	5114486	5116526	-243839896	+	HERVH-int	LTR	ERV1	962	2987	-4726	6
624	820	162	20	13	chr1	5116520	5116670	-243839752	+	HERVH-int	LTR	ERV1	3140	3290	-4423	6
624	3479	111	0	4	chr1	5116669	5117165	-243839257	+	HERVH-int	LTR	ERV1	3500	3993	-3720	6
624	4307	151	1	1	chr1	5117167	5117829	-243838593	+	HERVH-int	LTR	ERV1	4488	5149	-2564	6
624	1375	119	19	0	chr1	5117860	5118062	-243838360	+	HERVH-int	LTR	ERV1	5614	5819	-1894	6
624	2506	86	46	13	chr1	5118060	5118439	-243837983	+	HERVH-int	LTR	ERV1	7322	7713	0	6
681	1153	90	0	0	chr1	12713281	12713437	-236242985	-	HERVH-int	LTR	ERV1	-262	7451	7296	2
681	301	78	19	56	chr1	12713416	12713470	-236242952	-	HERVH-int	LTR	ERV1	-2721	4992	4941	2
681	1642	106	12	19	chr1	12713469	12713728	-236242694	+	HERVH-int	LTR	ERV1	7457	7713	0	2
688	1197	212	44	28	chr1	13561228	13561744	-235394678	+	HERVH-int	LTR	ERV1	1	522	-7191	2
688	8148	200	37	37	chr1	13561714	13564107	-235392315	+	HERVH-int	LTR	ERV1	590	2830	-4883	2
688	4231	147	6	88	chr1	13564107	13564912	-235391510	+	HERVH-int	LTR	ERV1	3357	4094	-3619	2
688	12202	95	5	1	chr1	13564901	13566541	-235389881	+	HERVH-int	LTR	ERV1	4370	6016	-1697	2
688	3373	124	14	42	chr1	13566534	13567107	-235389315	+	HERVH-int	LTR	ERV1	7157	7713	0	2
737	4825	136	9	9	chr1	20041446	20042413	-228914009	-	HERVH-int	LTR	ERV1	-1597	5057	3806	3
737	15741	143	4	32	chr1	20042407	20045782	-228910640	-	HERVH-int	LTR	ERV1	-4126	3587	1	3
760	3079	163	18	21	chr1	22997912	22998471	-225957951	-	HERVH-int	LTR	ERV1	0	7713	7157	4
760	7721	108	30	1	chr1	22998464	23000000	-225956422	-	HERVH-int	LTR	ERV1	-1697	6016	4435	4
760	2547	163	33	9	chr1	23000000	23000667	-225955755	-	HERVH-int	LTR	ERV1	-2053	4601	3813	4
760	17786	138	4	18	chr1	23000669	23003523	-225952899	-	HERVH-int	LTR	ERV1	-4128	3585	773	4
760	1940	187	99	16	chr1	23003540	23003991	-225952431	-	HERVH-int	LTR	ERV1	-7219	494	2	4
782	557	173	30	73	chr1	25911000	25911137	-223045285	-	HERVH-int	LTR	ERV1	-5574	2139	2009	4
782	266	103	0	0	chr1	25911105	25911144	-223045278	-	HERVH-int	LTR	ERV1	-7570	143	105	4
815	1964	186	50	44	chr1	30204065	30204521	-218751901	+	HERVH-int	LTR	ERV1	1	459	-7254	5
815	13312	131	4	12	chr1	30204579	30206635	-218749787	+	HERVH-int	LTR	ERV1	791	2830	-4883	5
815	4113	183	13	50	chr1	30206635	30207933	-218748489	+	HERVH-int	LTR	ERV1	3357	4719	-1935	5
815	1684	130	0	0	chr1	30207923	30208184	-218748238	+	HERVH-int	LTR	ERV1	5756	6016	-1697	5
815	3632	117	18	9	chr1	30208177	30208729	-218747693	+	HERVH-int	LTR	ERV1	7157	7713	0	5
832	20752	93	18	20	chr1	32432751	32435743	-216520679	+	HERVH-int	LTR	ERV1	1	2987	-4726	6
832	930	128	20	0	chr1	32435737	32435885	-216520537	+	HERVH-int	LTR	ERV1	3140	3290	-4423	6
832	3504	106	4	6	chr1	32435875	32436378	-216520044	+	HERVH-int	LTR	ERV1	3492	3993	-3720	6
832	4509	135	1	1	chr1	32436380	32437042	-216519380	+	HERVH-int	LTR	ERV1	4488	5149	-2564	6
832	1513	102	18	14	chr1	32437043	32437262	-216519160	+	HERVH-int	LTR	ERV1	5600	5819	-1894	6
832	2375	99	51	13	chr1	32437260	32437637	-216518785	+	HERVH-int	LTR	ERV1	7322	7713	0	6
849	2453	99	46	13	chr1	34632388	34632767	-214323655	-	HERVH-int	LTR	ERV1	0	7713	7322	6
849	1431	112	23	9	chr1	34632765	34632982	-214323440	-	HERVH-int	LTR	ERV1	-1894	5819	5600	6
849	4268	155	1	3	chr1	34632986	34633645	-214322777	-	HERVH-int	LTR	ERV1	-2567	5146	4489	6
849	3450	112	4	6	chr1	34633648	34634151	-214322271	-	HERVH-int	LTR	ERV1	-3720	3993	3492	6
849	863	162	20	0	chr1	34634141	34634289	-214322133	-	HERVH-int	LTR	ERV1	-4423	3290	3140	6
849	16613	94	24	12	chr1	34634283	34636714	-214319708	-	HERVH-int	LTR	ERV1	-4726	2987	404	6
853	1988	136	56	0	chr1	35132024	35132363	-213824059	-	HERVH-int	LTR	ERV1	-33	7680	7322	6
853	1375	139	18	0	chr1	35132361	35132577	-213823845	-	HERVH-int	LTR	ERV1	-1894	5819	5600	6
853	26889	144	46	24	chr1	35132578	35137611	-213818811	-	HERVH-int	LTR	ERV1	-2564	5149	1	6
874	1382	203	87	77	chr1	37908201	37908453	-211047969	+	HERVH-int	LTR	ERV1	1	274	-7439	7
