chr1,134772,137328,-
chr1,134928,139282,-
chr1,629639,630497,+
chr1,630267,630686,+
chr1,630763,631150,+
chr1,631073,631342,+
chr1,632486,632690,+
chr1,632756,633462,+
chr1,633534,634376,+
chr1,634375,634922,+
chr1,716344,720862,-
chr1,1232236,1235041,+
chr1,1409020,1410673,+
chr1,1468657,1470163,+
chr1,1541672,1543573,-
chr1,1598011,1600135,-
chr1,1613757,1615795,-
chr1,1692668,1692837,-
chr1,2401441,2403742,+
chr1,2403973,2404860,-
chr1,9584073,9585175,+
chr1,9728925,9730075,-
chr1,10456521,10459410,-
chr1,11029220,11030525,+
chr1,11722831,11725857,+
chr1,11753939,11754802,+
chr1,11841016,11843130,+
chr1,13617071,13617957,+
chr1,15807168,15807696,-
chr1,15834072,15834879,-
chr1,16520693,16521805,+
chr1,16537388,16538177,+
chr1,16618255,16621532,-
chr1,16751802,16754682,-
chr1,18481030,18485974,+
chr1,20719730,20720964,-
chr1,23304687,23310046,-
chr1,23506437,23509969,-
chr1,23695333,23696425,+
chr1,23964803,23965816,-
chr1,24538087,24541040,+
chr1,25834005,25835816,-
chr1,25900117,25901018,-
chr1,26469892,26471439,+
chr1,27955576,27959157,+
chr1,28508821,28510892,+
chr1,28716973,28718208,+
chr1,31179362,31179848,-
chr1,31906420,31907500,-
chr1,31906562,31907859,-
chr1,32601606,32605941,+
chr1,32682972,32686211,+
chr1,33009921,33013287,-
chr1,35118261,35118815,+
chr1,35599540,35602348,-
chr1,35601583,35602452,-
chr1,35601819,35602847,-
chr1,35928680,35929610,+
chr1,35930009,35930545,+
chr1,36061763,36063159,+
chr1,36095238,36095438,-
chr1,36455329,36455854,-
chr1,37534448,37536490,-
chr1,37809573,37813307,-
chr1,38043828,38046793,-
chr1,38425446,38430743,+
chr1,38862491,38863588,-
chr1,39005314,39006055,+
chr1,39006179,39007692,+
chr1,39486462,39487754,+
chr1,40236421,40240921,+
chr1,40256423,40257967,-
chr1,40463860,40466896,+
chr1,40861053,40862363,-
chr1,42765446,42766989,-
chr1,43137369,43139643,+
chr1,43996482,43997970,-
chr1,44775635,44778779,+
chr1,45326894,45328710,+
chr1,46040141,46043229,-
chr1,46632736,46634650,-
chr1,51907955,51915443,-
chr1,52032102,52033810,-
