1591,919,127,7,0,chr6,131905080,131905230,-38900749,+,HERVH-int,LTR,ERV1,3140,3290,-4423,3
1591,3221,101,10,6,chr6,131905220,131905720,-38900259,+,HERVH-int,LTR,ERV1,3492,3993,-3720,3
1591,4143,136,1,3,chr6,131905722,131906385,-38899594,+,HERVH-int,LTR,ERV1,4488,5149,-2564,3
1591,1147,114,82,10,chr6,131906386,131906590,-38899389,+,HERVH-int,LTR,ERV1,5600,5819,-1894,3
1591,2414,72,44,13,chr6,131906590,131906968,-38899011,+,HERVH-int,LTR,ERV1,7324,7713,0,3
1591,3723,38,0,2,chr6,131906968,131907417,-38898562,+,LTR7,LTR,ERV1,1,448,-2,3
1591,525,178,0,0,chr6,131907635,131907708,-38898271,-,FLAM_A,SINE,Alu,-67,75,3,3
1591,867,277,78,63,chr6,131907791,131908280,-38897699,+,MLT1H,LTR,ERVL-MaLR,53,549,0,3
1591,1340,170,0,22,chr6,131908846,131909069,-38896910,+,AluJo,SINE,Alu,79,296,-16,3
1591,2315,100,10,0,chr6,131909074,131909374,-38896605,+,AluSp,SINE,Alu,1,303,-10,3
1591,2137,158,74,16,chr6,131909433,131909876,-38896103,+,L1MB2,LINE,L1,5686,6156,-15,3
1591,519,93,0,11,chr6,131910349,131910436,-38895543,-,L1MA7,LINE,L1,-6,6285,6200,3
1591,217,272,95,81,chr6,131910484,131910608,-38895371,-,L2c,LINE,L2,-2,3385,3260,3
1591,1258,85,18,6,chr6,131910759,131910924,-38895055,-,AluSx,SINE,Alu,-8,304,138,3
1591,5448,221,76,68,chr6,131911031,131912762,-38893217,-,L1MD2,LINE,L1,0,6359,4657,3
1591,1552,192,3,68,chr6,131912762,131912973,-38893006,-,AluJb,SINE,Alu,-10,302,103,3
1591,1894,114,32,7,chr6,131912973,131913246,-38892733,+,AluSx,SINE,Alu,3,282,-30,3
1591,50,0,0,0,chr6,131913247,131913292,-38892687,+,(AAAC)n,Simple_repeat,Simple_repeat,1,45,0,3
1591,1552,192,3,68,chr6,131913292,131913400,-38892579,-,AluJb,SINE,Alu,-210,102,3,3
1591,5448,191,58,23,chr6,131913400,131913986,-38891993,-,L1MD2,LINE,L1,-1490,4656,4011,3
1591,1467,183,77,24,chr6,131914171,131914501,-38891478,-,MSTD,LTR,ERVL-MaLR,-47,349,1,3
1591,294,309,9,9,chr6,131915738,131915862,-38890117,+,MER63D,DNA,hAT-Blackjack,1,124,-86,3
1591,1097,128,161,13,chr6,131916001,131916239,-38889740,+,MSTA,LTR,ERVL-MaLR,1,280,-148,3
1591,2002,142,39,28,chr6,131916244,131916598,-38889381,+,THE1B,LTR,ERVL-MaLR,7,364,0,3
1591,730,128,136,0,chr6,131916598,131916731,-38889248,+,MSTA,LTR,ERVL-MaLR,275,428,0,3
1591,207,244,93,37,chr6,131917237,131917318,-38888661,+,L2a,LINE,L2,3073,3158,-268,3
1591,886,87,0,11,chr6,131918081,131918228,-38887751,+,L1MA1,LINE,L1,5239,5379,-810,3
1591,4889,200,61,9,chr6,131918252,131919316,-38886663,+,L1PA13,LINE,L1,17,1139,-5646,3
1591,5948,103,24,20,chr6,131919319,131921049,-38884930,+,L1PA13,LINE,L1,4435,6159,-4,3
1591,6165,101,9,5,chr6,131921044,131921989,-38883990,+,L1MA1,LINE,L1,5354,6302,0,3
